FilePath,Package,ClassName,FieldName,Id,parentId,FieldType,Annotations
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\impl\Safety.java,ch.cern.eam.wshub.core.services.workorders.impl,Safety,id,614,,String,"@InforField(xpath = ""SAFETYCODE""), @GridField(name = ""entitysafetyid"", alternativeNames = { ""worksafety"" })"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\NonConformityObservation.java,ch.cern.eam.wshub.core.services.equipment.entities,NonConformityObservation,importance,615,,String,"@GridField(name = ""importance""), @InforField(xpath = ""OBSERVATIONIMPORTANCE/USERDEFINEDCODE"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\material\entities\PhysicalInventory.java,ch.cern.eam.wshub.core.services.material.entities,PhysicalInventory,includeChildStores,616,,Boolean,"@InforField(xpath = ""INCLUDECHILDSTORES"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\material\entities\PhysicalInventory.java,ch.cern.eam.wshub.core.services.material.entities,PhysicalInventory,includeConsignmentItem,617,,Boolean,"@InforField(xpath = ""INCLUDECONSIGNMENTITEM"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\grids\entities\GridRequest.java,ch.cern.eam.wshub.core.services.grids.entities,GridRequest,includeMetadata,618,,Boolean,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\material\entities\PhysicalInventory.java,ch.cern.eam.wshub.core.services.material.entities,PhysicalInventory,includeOutOfServiceItem,619,,Boolean,"@InforField(xpath = ""INCLUDEOUTOFSERVICEITEM"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\client\InforClient.java,ch.cern.eam.wshub.core.client,InforClient,inforWebServicesToolkitClient,620,,InforWebServicesPT,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\grids\impl\InforGrids.java,ch.cern.eam.wshub.core.services.grids.impl,InforGrids,inforws,621,,InforWebServicesPT,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\grids\impl\JPAGrids.java,ch.cern.eam.wshub.core.services.grids.impl,JPAGrids,inforws,622,,InforWebServicesPT,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\Equipment.java,ch.cern.eam.wshub.core.services.equipment.entities,Equipment,inProduction,623,,Boolean,"@Transient, @InforField(xpath = ""INPRODUCTION"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\administration\entities\GenericLov.java,ch.cern.eam.wshub.core.services.administration.entities,GenericLov,inputParams,624,,"Map<String,String>",
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\casemanagement\entities\EAMCaseManagement.java,ch.cern.eam.wshub.core.services.casemanagement.entities,EAMCaseManagement,inspectionDirectionCode,625,,String,"@InforField(xpath = ""LinearReferenceDetails/INSPECTIONDIRECTIONCODE"", nullifyParentLevel = 0)"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\client\InforClient.java,ch.cern.eam.wshub.core.client,InforClient,inspectionService,626,,InspectionService,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\userdefinedscreens\entities\UDTRow.java,ch.cern.eam.wshub.core.services.userdefinedscreens.entities,UDTRow,integers,627,,"HashMap<String,BigInteger>",
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\NonConformityObservation.java,ch.cern.eam.wshub.core.services.equipment.entities,NonConformityObservation,intensity,628,,String,"@GridField(name = ""intensity_display""), @InforField(xpath = ""OBSERVATIONINTENSITY/USERDEFINEDCODE"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\InforCase.java,ch.cern.eam.wshub.core.services.workorders.entities,InforCase,intStudyNeedDetails,629,,String,@Transient
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\InforCase.java,ch.cern.eam.wshub.core.services.workorders.entities,InforCase,intStudyNeedReqFlag,630,,String,@Transient
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\contractmanagement\entities\EquipmentReservationAdjustment.java,ch.cern.eam.wshub.core.services.contractmanagement.entities,EquipmentReservationAdjustment,invoice,631,,String,"@GridField(name = ""invoicecode""), @InforField(xpath = ""CUSTOMERCONTRACTINVOICEID/CUSTOMERCONTRACTINVOICECODE"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\contractmanagement\entities\EquipmentReservationAdjustment.java,ch.cern.eam.wshub.core.services.contractmanagement.entities,EquipmentReservationAdjustment,invoiceOrgCode,632,,String,"@GridField(name = ""invoiceorg""), @InforField(xpath = ""CUSTOMERCONTRACTINVOICEID/ORGANIZATIONID/ORGANIZATIONCODE"")"
